,id,lat,lon,cluster,cluster_size,geohash,time_ratio_weekday_True,time_ratio_weekday_False
25945,10360,54.8984,38.0708,0,172,202320012230312011,0.8093270412196057,0.7036368326025277
25946,10360,54.8875,38.0911,1,46,202320012230123323,0.1897338373285125,0.2954389132490757
25947,10361,54.8864,38.0761,0,181,202320012230022211,0.3689260872763533,0.0
25948,10361,54.8916,38.0872,1,542,202320012230203310,0.613198525505325,0.9902709235572564
25961,10370,54.9024,38.0858,0,390,202320012230202020,0.8178781013893742,0.740205903009747
25962,10370,54.892,38.0627,1,28,202320012230321233,0.0336438237314278,0.0053274406016067
25963,10370,54.8929,38.0662,2,32,202320012230321132,0.110785424223071,0.1097521284067355
25969,10375,54.8874,38.0883,0,389,202320012230130001,0.349056875449964,0.2684597947072158
25970,10375,54.8786,38.1312,1,177,202320012233312321,0.1239920806335493,0.1892717964392145
25971,10375,54.8804,38.1502,2,130,202320012300030212,0.3191648668106551,0.3068184712564631
25972,10375,54.8929,38.0625,3,33,202320012230321233,0.056609071274298,0.0001782939813046
25973,10375,54.8886,38.0848,4,33,202320012230203223,0.0028617710583153,0.0005348819439138
25974,10375,54.8858,38.0774,5,18,202320012230022220,0.0001079913606911,0.0
