,id,lat,lon,cluster,cluster_size,inq,wd_rate,wd_all,work_place,geometry
501,1200.0,54.8427,38.0974,0.0,3698.0,17744.758333146572,1.0,1.0,True,POINT (38.0974 54.8427)
503,1205.0,54.887,38.0533,0.0,5393.0,30115.673913121223,1.0,1.0,False,POINT (38.0533 54.887)
504,1210.0,54.8812,38.0627,0.0,1505.0,24280.777777671814,1.0,0.7142857142857143,True,POINT (38.0627 54.8812)
505,1210.0,54.8904,38.0733,1.0,1009.0,17699.66666674614,0.4,0.2857142857142857,True,POINT (38.0733 54.8904)
510,1216.0,54.8435,38.1908,1.0,1222.0,21517.0,0.9090909090909091,0.6666666666666666,True,POINT (38.1908 54.8435)
511,1219.0,54.8895,38.065,0.0,5303.0,30280.75,1.0,1.0,False,POINT (38.065 54.8895)
512,1221.0,54.8938,38.0664,0.0,1493.0,28452.937500059605,1.0,1.0,False,POINT (38.0664 54.8938)
513,1222.0,54.8814,38.0548,0.0,2717.0,25417.0,1.0,1.0,False,POINT (38.0548 54.8814)
515,1256.0,54.8797,38.0657,0.0,14282.0,43575.644632816315,1.0,0.5121951219512195,True,POINT (38.0657 54.8797)
518,1257.0,54.8962,38.0823,1.0,1745.0,30214.42420554161,0.875,0.4666666666666667,True,POINT (38.0823 54.8962)
519,1265.0,54.8863,38.0671,0.0,4371.0,36282.66948747635,1.0,1.0,False,POINT (38.0671 54.8863)
524,1274.0,54.8654,38.1332,0.0,3317.0,44201.466666698456,0.8125,0.4642857142857143,True,POINT (38.1332 54.8654)
525,1274.0,54.8941,38.0667,1.0,1503.0,24738.0,0.9375,0.5357142857142857,True,POINT (38.0667 54.8941)
527,1277.0,54.8816,38.0636,0.0,4897.0,37863.0,1.0,0.6,True,POINT (38.0636 54.8816)
528,1277.0,54.8947,38.0794,1.0,2220.0,27142.384615123272,0.6666666666666666,0.4,True,POINT (38.0794 54.8947)
532,1285.0,54.8792,38.0748,0.0,2023.0,30690.571428596973,1.0,0.5,True,POINT (38.0748 54.8792)
533,1285.0,54.8838,38.0798,1.0,927.0,33701.08333325386,1.0,0.5,True,POINT (38.0798 54.8838)
535,1292.0,54.8868,38.0852,1.0,4908.0,46380.40000009537,1.0,0.5454545454545454,True,POINT (38.0852 54.8868)
536,1296.0,54.8939,38.0737,0.0,2894.0,26610.55769240856,1.0,1.0,False,POINT (38.0737 54.8939)
539,1300.0,54.8907,38.0906,1.0,1295.0,38986.15476208925,1.0,0.5714285714285714,True,POINT (38.0906 54.8907)
546,1317.0,54.889,38.0896,0.0,3452.0,29868.057142734528,1.0,1.0,False,POINT (38.0896 54.889)
548,1327.0,54.8911,38.0719,0.0,2992.0,32187.625,1.0,1.0,False,POINT (38.0719 54.8911)
549,1331.0,54.8856,38.0824,0.0,5596.0,39739.9375,1.0,1.0,False,POINT (38.0824 54.8856)
550,1336.0,54.8811,38.0557,0.0,2824.0,30044.523863554,1.0,1.0,False,POINT (38.0557 54.8811)
559,1347.0,54.8991,38.0379,0.0,1722.0,23233.159420251846,1.0,1.0,True,POINT (38.0379 54.8991)
560,1354.0,54.8868,38.0723,0.0,5072.0,38601.51489394903,1.0,1.0,False,POINT (38.0723 54.8868)
563,1365.0,54.888,38.0776,0.0,781.0,53637.83928543329,1.0,0.6470588235294118,True,POINT (38.0776 54.888)
564,1365.0,54.898,38.0794,1.0,1305.0,24784.57142853737,0.5454545454545454,0.35294117647058826,True,POINT (38.0794 54.898)
566,1368.0,54.8864,38.0813,0.0,922.0,20970.550000071526,0.9090909090909091,0.5263157894736842,True,POINT (38.0813 54.8864)
567,1368.0,54.8849,38.0967,1.0,850.0,54846.0,0.8181818181818182,0.47368421052631576,True,POINT (38.0967 54.8849)
568,1371.0,54.8848,38.081,0.0,19696.0,28457.807278871536,1.0,1.0,False,POINT (38.081 54.8848)
569,1376.0,54.8961,38.0788,0.0,1474.0,21114.5,0.8181818181818182,0.6428571428571429,True,POINT (38.0788 54.8961)
570,1376.0,54.8989,38.0366,1.0,789.0,36340.687500059605,0.45454545454545453,0.35714285714285715,True,POINT (38.0366 54.8989)
577,1393.0,54.8927,38.0798,0.0,10828.0,30554.328250169754,1.0,1.0,False,POINT (38.0798 54.8927)
578,1398.0,54.8835,38.0605,0.0,2903.0,15085.5,0.47619047619047616,0.3225806451612903,True,POINT (38.0605 54.8835)
579,1398.0,54.88,38.0642,1.0,5592.0,33926.85384619236,1.0,0.6774193548387096,True,POINT (38.0642 54.88)
582,1406.0,54.8857,38.0811,0.0,2289.0,35046.4467689991,1.0,0.8888888888888888,False,POINT (38.0811 54.8857)
583,1406.0,54.9332,38.1234,1.0,850.0,20016.667832374573,0.125,0.1111111111111111,True,POINT (38.1234 54.9332)
584,1410.0,54.8842,38.0883,0.0,6697.0,16441.982142806053,1.0,1.0,True,POINT (38.0883 54.8842)
585,1412.0,54.8864,38.0858,0.0,6718.0,23981.627551198006,1.0,1.0,True,POINT (38.0858 54.8864)
586,1416.0,54.887,38.0596,0.0,3980.0,28207.474747538567,1.0,1.0,False,POINT (38.0596 54.887)
589,1419.0,54.8814,38.116,0.0,1384.0,28020.90909099579,1.0,1.0,False,POINT (38.116 54.8814)
590,1422.0,54.8928,38.0747,0.0,3047.0,24999.832801818848,1.0,1.0,True,POINT (38.0747 54.8928)
591,1424.0,54.8561,38.0509,0.0,3684.0,45777.25980466604,1.0,1.0,False,POINT (38.0509 54.8561)
594,1434.0,54.8448,38.191,0.0,3838.0,25470.351351320744,1.0,1.0,False,POINT (38.191 54.8448)
595,1438.0,54.8946,38.0746,0.0,935.0,30017.066666722298,1.0,0.6,True,POINT (38.0746 54.8946)
596,1438.0,54.8794,38.0665,1.0,1045.0,25737.121212124825,0.6666666666666666,0.4,True,POINT (38.0665 54.8794)
597,1441.0,54.8851,38.0572,0.0,2613.0,15723.81410241127,1.0,1.0,True,POINT (38.0572 54.8851)
598,1442.0,54.8849,38.0716,0.0,3793.0,35250.36190474033,1.0,1.0,False,POINT (38.0716 54.8849)
600,1449.0,54.8853,38.0528,0.0,6020.0,34576.366666674614,1.0,1.0,False,POINT (38.0528 54.8853)
605,1478.0,54.8813,38.0673,0.0,2279.0,17658.31818175316,0.6666666666666666,0.4,True,POINT (38.0673 54.8813)
606,1478.0,54.8815,38.0631,1.0,2965.0,29054.126302063465,1.0,0.6,True,POINT (38.0631 54.8815)
607,1481.0,54.8946,38.081,0.0,2506.0,30079.767857193947,1.0,1.0,False,POINT (38.081 54.8946)
608,1482.0,54.9223,38.0617,0.0,5499.0,37867.15878379345,1.0,1.0,False,POINT (38.0617 54.9223)
609,1483.0,54.843,38.1922,0.0,7106.0,29216.33823531866,1.0,1.0,False,POINT (38.1922 54.843)
611,1485.0,54.8804,38.0635,0.0,2094.0,51021.778846502304,1.0,1.0,False,POINT (38.0635 54.8804)
612,1486.0,54.8846,38.0876,0.0,3137.0,25641.641025543213,1.0,1.0,False,POINT (38.0876 54.8846)
613,1495.0,54.8444,38.1915,0.0,4119.0,33102.32978725433,0.8461538461538461,0.7857142857142857,False,POINT (38.1915 54.8444)
614,1495.0,54.8547,38.1895,1.0,1392.0,37842.02653813362,0.23076923076923078,0.21428571428571427,True,POINT (38.1895 54.8547)
615,1500.0,54.8961,38.0756,0.0,1933.0,20560.97916662693,1.0,1.0,True,POINT (38.0756 54.8961)
616,1510.0,54.8916,38.0699,0.0,629.0,18292.66666674614,0.875,0.3684210526315789,True,POINT (38.0699 54.8916)
619,1511.0,54.8839,38.0662,0.0,1248.0,39300.43333339691,1.0,0.8333333333333334,False,POINT (38.0662 54.8839)
620,1511.0,54.8796,38.0625,1.0,372.0,15473.158561527729,0.2,0.16666666666666666,True,POINT (38.0625 54.8796)
623,1518.0,54.9392,38.0475,0.0,2732.0,26697.0,0.6666666666666666,0.4,True,POINT (38.0475 54.9392)
624,1518.0,54.8817,38.0553,1.0,11261.0,36114.2707298398,1.0,0.6,True,POINT (38.0553 54.8817)
625,1523.0,54.9325,38.0471,0.0,3139.0,17635.278571367264,1.0,1.0,True,POINT (38.0471 54.9325)
626,1529.0,54.8533,38.1804,0.0,3197.0,35367.175480782986,1.0,1.0,False,POINT (38.1804 54.8533)
629,1534.0,54.8932,38.0615,0.0,2847.0,41562.5,1.0,1.0,False,POINT (38.0615 54.8932)
630,1535.0,54.8877,38.0749,0.0,3966.0,17080.857142925262,1.0,1.0,True,POINT (38.0749 54.8877)
631,1536.0,54.845,38.1932,0.0,568.0,36662.10714280605,0.125,0.125,True,POINT (38.1932 54.845)
632,1536.0,54.8434,38.1927,1.0,667.0,22947.44175684452,0.625,0.625,True,POINT (38.1927 54.8434)
634,1537.0,54.8876,38.0689,0.0,1972.0,39581.079213261604,1.0,1.0,False,POINT (38.0689 54.8876)
637,1541.0,54.8794,38.1572,0.0,2115.0,38718.87787616253,1.0,1.0,False,POINT (38.1572 54.8794)
638,1542.0,54.8813,38.0625,0.0,2638.0,17116.669071137905,1.0,0.4166666666666667,True,POINT (38.0625 54.8813)
