,hash,ttl_ppl,id
0,210123030002100331,0.0,1.0
1,210123030002100302,0.0,0.0
2,210123030002100330,0.0,1.0
3,210123030002100332,0.0,1.0
4,210123030002100301,0.0,0.0
5,210123030002100333,0.0,1.0
6,210123030002100320,0.0,0.0
7,210123030002100313,0.0,0.0
8,210123030002100323,0.0,2.0
9,210123030002101003,0.0,0.0
10,210123030002101010,0.0,1.0
11,210123030002101000,0.0,12.0
12,210123030002100321,0.0,1.0
13,210123030002100312,0.0,0.0
14,210123030002100322,0.0,5.0
15,210123030002100310,0.0,1.0
16,210123030002100303,0.0,0.0
17,210123030002100311,0.0,0.0
18,210123030002033223,0.0,5.0
19,210123030002033222,0.0,1.0
20,210123030002033230,0.0,16.0
21,210123030002030111,0.0,1.0
22,210123030002101001,0.0,1.0
23,210123030002101002,0.0,1.0
24,210123030002030110,0.0,1.0
25,210123030002033220,0.0,341.0
26,210123030002033221,0.0,183.0
27,210123030002033231,20.0,187.0
28,210123030002100300,0.0,1.0
29,210123030002101011,0.0,0.0
30,210123030002030112,20.0,62.0
31,210123030002100232,0.0,0.0
32,210123030002100233,0.0,0.0
33,210123030002100201,0.0,0.0
34,210123030002101013,0.0,2.0
35,210123030002101031,0.0,0.0
36,210123030002101020,0.0,0.0
37,210123030002101032,0.0,2.0
38,210123030002033213,0.0,63.0
39,210123030002033212,20.0,47.0
40,210123030002033202,0.0,89.0
41,210123030002101012,0.0,0.0
42,210123030002100012,0.0,6.0
43,210123030002100021,0.0,1.0
44,210123030002100011,0.0,72.0
45,210123030002033300,0.0,197.0
46,210123030002033233,0.0,111.0
47,210123030002100010,0.0,193.0
48,210123030002100013,0.0,34.0
49,210123030002033301,20.0,25.0
50,210123030002101030,0.0,0.0
51,210123030002101023,0.0,0.0
52,210123030002101033,0.0,0.0
53,210123030002033302,0.0,86.0
54,210123030002033303,0.0,25.0
55,210123030002033332,0.0,82.0
56,210123030002100003,40.0,106.0
57,210123030002033331,0.0,120.0
58,210123030002033210,0.0,68.0
59,210123030002033211,0.0,51.0
60,210123030002033203,20.0,160.0
61,210123030002033232,0.0,73.0
62,210123030002100230,0.0,0.0
63,210123030002101322,0.0,0.0
64,210123030002101323,0.0,0.0
65,210123030002100231,0.0,1.0
66,210123030002030121,0.0,198.0
67,210123030002030113,0.0,23.0
68,210123030002030120,0.0,142.0
69,210123030002100200,0.0,0.0
70,210123030002100020,0.0,1.0
71,210123030002100023,0.0,9.0
72,210123030002100022,0.0,0.0
73,210123030002100031,0.0,8.0
74,210123030002100030,0.0,0.0
75,210123030002100002,0.0,300.0
76,210123030002030100,0.0,1.0
77,210123030002101100,0.0,2.0
78,210123030002101101,0.0,0.0
79,210123030002030033,0.0,0.0
80,210123030002030103,0.0,1.0
81,210123030002100032,20.0,57.0
82,210123030002100033,0.0,3.0
83,210123030002100001,0.0,232.0
84,210123030002100203,0.0,0.0
85,210123030002100202,0.0,0.0
86,210123030002100133,0.0,1.0
87,210123030002100130,0.0,4.0
88,210123030002100000,0.0,61.0
89,210123030002033333,0.0,63.0
90,210123030002033123,0.0,152.0
91,210123030002033122,0.0,125.0
92,210123030002033130,0.0,124.0
93,210123030002033131,0.0,288.0
94,210123030002033120,0.0,195.0
95,210123030002033133,0.0,70.0
96,210123030002033200,0.0,156.0
97,210123030002033132,0.0,249.0
98,210123030002030122,0.0,76.0
99,210123030002033113,135.0,217.0
100,210123030002033121,0.0,145.0
101,210123030002033112,0.0,70.0
102,210123030002033102,225.0,316.0
103,210123030002100123,0.0,3.0
104,210123030002100210,0.0,1.0
105,210123030002100131,0.0,5.0
106,210123030002100120,0.0,0.0
107,210123030002100132,0.0,0.0
108,210123030002100211,0.0,1.0
109,210123030002100213,0.0,0.0
110,210123030002100212,0.0,0.0
111,210123030002100122,0.0,0.0
112,210123030002100223,0.0,0.0
113,210123030002101330,0.0,0.0
114,210123030002100220,0.0,1.0
115,210123030002100100,0.0,0.0
116,210123030002100101,0.0,0.0
117,210123030001233300,0.0,2.0
118,210123030001233233,0.0,1.0
119,210123030001233301,0.0,217.0
120,210123030002033201,0.0,40.0
121,210123030001233230,0.0,0.0
122,210123030002100103,0.0,0.0
123,210123030001233232,0.0,2.0
124,210123030001233231,0.0,1.0
125,210123030001233303,0.0,52.0
126,210123030002033330,0.0,22.0
127,210123030002030211,0.0,119.0
128,210123030002030212,0.0,162.0
129,210123030002030123,0.0,31.0
130,210123030002030210,0.0,180.0
131,210123030002033310,0.0,47.0
132,210123030002033311,0.0,148.0
133,210123030002101333,0.0,1.0
